时间(s),X坐标(m),Y坐标(m)
777.7753250000442,4.3638582355047415,2.8102115736592923
777.8753250000442,4.362517379346695,2.816273894364855
777.9753250000442,4.361164328775139,2.8223338123513138
778.0753250000442,4.359799088025387,2.828391303087253
778.1753250000443,4.358421661403841,2.834446342051943
778.2753250000443,4.357032053253036,2.8404989047301203
778.3753250000443,4.355630267967123,2.84654896661441
778.4753250000443,4.3542163099958975,2.852596503206196
778.5753250000444,4.352790183828878,2.858641490012996
778.6753250000444,4.351351894011373,2.8646839025513873
778.7753250000444,4.34990144513998,2.8707237163461476
778.8753250000444,4.34843884184764,2.876760906928064
778.9753250000444,4.346964088838061,2.8827954498396693
779.0753250000445,4.345477190839432,2.888827320627567
779.1753250000445,4.343978152650831,2.8948564948504787
779.2753250000445,4.3424669791073764,2.900882948073316
779.3753250000445,4.340943675095649,2.906906655869916
779.4753250000446,4.339408245557721,2.912927593823995
779.5753250000446,4.337860695475278,2.9189457375262
779.6753250000446,4.336301029885628,2.9249610625773594
779.7753250000446,4.334729253877214,2.9309735445875345
779.8753250000447,4.3331453725747116,2.936983159173524
779.9753250000447,4.331549391173345,2.9429898819652958
780.0753250000447,4.329941314892755,2.9489936885973798
780.1753250000447,4.328321149023241,2.9549945547178473
780.2753250000447,4.326688898891033,2.960992455981687
780.3753250000448,4.325044569873652,2.9669873680538457
780.4753250000448,4.32338816740393,2.972979266610267
780.5753250000448,4.321719696954187,2.9789681273346247
780.6753250000448,4.320039164052173,2.9849539259218894
780.7753250000449,4.3183465742766085,2.9909366380772875
780.8753250000449,4.316641933242318,2.9969162395135105
780.9753250000449,4.314925246634431,3.002892705957846
781.0753250000449,4.313196520162403,3.0088660131426352
781.175325000045,4.311455759606103,3.0148361368151786
781.275325000045,4.309702970781192,3.020803052730411
781.375325000045,4.3079381595544515,3.0267667366542614
781.475325000045,4.306161331847759,3.0327271643647666
781.575325000045,4.30437249362234,3.0386843116484923
781.6753250000451,4.302571650894638,3.044638154304412
781.7753250000451,4.300758809731871,3.0505886681427774
781.8753250000451,4.298933976237224,3.0565358289820335
781.9753250000451,4.297097156583915,3.0624796126566327
782.0753250000452,4.295248356969392,3.068419995006573
782.1753250000452,4.293387583661236,3.074356951888233
782.2753250000452,4.291514842962682,3.080290459166348
782.3753250000452,4.289630141227876,3.086220492717665
782.4753250000452,4.287733484865832,3.092147028432144
782.5753250000453,4.285824880324744,3.098070042209071
782.6753250000453,4.283904334107792,3.103989509961253
782.7753250000453,4.2819718527687325,3.1099054076137964
782.8753250000453,4.280027442897131,3.1158177111007226
782.9753250000454,4.278071111152274,3.1217263963734765
783.0753250000454,4.276102864217581,3.1276314393895337
783.1753250000454,4.274122708846293,3.13353281612415
783.2753250000454,4.272130651827148,3.1394305025616527
783.3753250000454,4.270126699999562,3.145324474699419
783.4753250000455,4.2681108602575755,3.151214708549145
783.5753250000455,4.266083139534237,3.157101180132636
783.6753250000455,4.2640435448173255,3.162983865486322
783.7753250000455,4.261992083144953,3.168862740659952
783.8753250000456,4.259928761590877,3.1747377817129108
783.9753250000456,4.2578535872982455,3.1806089647234064
784.0753250000456,4.2557665674342235,3.1864762657761645
784.1753250000456,4.253667709235469,3.1923396609751
784.2753250000457,4.251557019973958,3.198199126433918
784.3753250000457,4.2494345069721,3.2040546382803847
784.4753250000457,4.247300177606647,3.2099061726576847
784.5753250000457,4.245154039293179,3.215753705719897
784.6753250000457,4.24299609950172,3.2215972136368283
784.7753250000458,4.240826365752383,3.2274366725926193
784.8753250000458,4.238644845600732,3.2332720587817647
784.9753250000458,4.2364515466713755,3.2391033484189764
785.0753250000458,4.234246476612807,3.2449305177259715
785.1753250000459,4.232029643142644,3.2507535429450503
785.2753250000459,4.229801054013641,3.256572400329013
785.3753250000459,4.227560717028716,3.2623870661457377
785.4753250000459,4.225308640044844,3.268197516679619
785.575325000046,4.223044830957608,3.2740037282267256
785.675325000046,4.220769297716741,3.2798056770999513
785.775325000046,4.21848204832179,3.2856033396275297
785.875325000046,4.216183090807557,3.291396692148761
785.975325000046,4.213872433277494,3.297185711024559
786.0753250000461,4.21155008385881,3.3029703726233146
786.1753250000461,4.209216050747444,3.3087506533354034
786.2753250000461,4.206870342174275,3.314526529562399
786.3753250000461,4.20451296642006,3.32029797772197
